Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Paris - Montparnasse - Hall 1 & 2,Le Mans ,TGV INOUI,8897,08-03-2023,18:36:00,18:36:00,0,,['Le Mans']
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862437,08-03-2023,18:39:00,18:39:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris Est,Nancy ,TGV INOUI,2501,08-03-2023,07:07:00,07:07:00,0,,"['Champagne-Ardenne TGV', 'Nancy']"
Paris Est,Mannheim - Hauptbahnhof ,DB SNCF,9561,08-03-2023,07:20:00,07:20:00,0,,"['Strasbourg', 'Karlsruhe Hauptbahnhof', 'Mannheim - Hauptbahnhof']"
Paris Est,Colmar ,TGV INOUI,2363,08-03-2023,07:20:00,07:20:00,0,,"['Strasbourg', 'Colmar']"
Paris Est,Luxembourg ,TGV INOUI,2801,08-03-2023,07:25:00,07:25:00,0,,"['Metz Ville', 'Thionville', 'Luxembourg (CFL)']"
Paris Est,Reims ,TGV INOUI,2707,08-03-2023,07:39:00,07:39:00,0,,['Reims']
Paris Est,Colmar ,TGV INOUI,2365,08-03-2023,09:25:00,09:25:00,0,,"['Strasbourg', 'Colmar']"
Paris Est,Nancy ,TGV INOUI,2507,08-03-2023,10:13:00,10:13:00,0,,['Nancy']
Paris Est,Metz Ville ,TGV INOUI,2815,08-03-2023,10:40:00,10:40:00,0,,['Metz Ville']
Paris Est,Remiremont ,TGV INOUI,2571,08-03-2023,12:23:00,12:23:00,0,,"['Champagne-Ardenne TGV', 'Nancy', 'Épinal', 'Remiremont']"
Paris Est,Metz Ville ,TGV INOUI,2613,08-03-2023,15:24:00,15:24:00,0,,['Metz Ville']
Paris Est,Reims ,TGV INOUI,2743,08-03-2023,15:58:00,15:58:00,0,,['Reims']
