Provenance,Destination,Train,Numéro,Jour,Arrivée (réelle),Arrivée (prévue),Retard (min),Cause,Arrêts
Nogent-le-Rotrou,Paris - Montparnasse - Hall 1 & 2 ,TER,862586,10-03-2023,18:52:00,18:52:00,0,,"['Nogent-le-Rotrou', 'Condé-sur-Huisne', 'Bretoncelles', 'La Loupe', 'Pontgouin', 'Courville-sur-Eure', 'Saint-Aubin - Saint-Luperce', 'Amilly Ouerray', 'Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Gazeran', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Brest,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8634,10-03-2023,19:06:00,19:06:00,0,,"['Brest', 'Saint-Brieuc', 'Rennes', 'Paris - Montparnasse - Hall 1 & 2']"
Quimper,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8730,10-03-2023,19:06:00,19:06:00,0,,"['Quimper', 'Rosporden', 'Quimperlé', 'Lorient', 'Auray', 'Vannes', 'Rennes', 'Paris - Montparnasse - Hall 1 & 2']"
Nantes,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8144,10-03-2023,19:14:30,19:14:30,0,,"['Nantes', 'Angers-Saint-Laud', 'Paris - Montparnasse - Hall 1 & 2']"
La Roche-sur-Yon,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8984,10-03-2023,19:14:30,19:14:30,0,,"['La Roche-sur-Yon', 'Nantes', 'Angers-Saint-Laud', 'Paris - Montparnasse - Hall 1 & 2']"
Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8418,10-03-2023,19:24:00,19:24:00,0,,"['Bordeaux Saint-Jean', 'Massy TGV', 'Paris - Montparnasse - Hall 1 & 2']"
Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8488,10-03-2023,19:33:00,19:33:00,0,,"['Bordeaux Saint-Jean', 'Libourne', 'Angoulême', 'Poitiers', 'Paris - Montparnasse - Hall 1 & 2']"
La Rochelle,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8364,10-03-2023,19:41:00,19:41:00,0,,"['La Rochelle', 'Surgères', 'Niort', 'Paris - Montparnasse - Hall 1 & 2']"
Chartres,Paris - Montparnasse - Hall 1 & 2 ,TER,862438,10-03-2023,19:44:30,19:44:30,0,,"['Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Paris - Montparnasse - Hall 1 & 2']"
Le Mans,Paris - Montparnasse - Hall 1 & 2 ,TER,16778,10-03-2023,19:53:00,19:53:00,0,,"['Le Mans', 'Connerré - Beillé', 'La Ferté-Bernard', 'Nogent-le-Rotrou', 'La Loupe', 'Courville-sur-Eure', 'Chartres', 'Maintenon', 'Épernon', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Tours,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8320,10-03-2023,20:12:30,20:12:30,0,,"['Tours', 'Saint-Pierre-des-Corps', 'Vendôme - Villiers-sur-Loir', 'Paris - Montparnasse - Hall 1 & 2']"
Le Croisic,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8926,10-03-2023,20:29:00,20:29:00,0,,"['Le Croisic', 'La Baule-Escoublac', 'Saint-Nazaire', 'Nantes', 'Angers-Saint-Laud', 'Sablé-sur-Sarthe', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
Nogent-le-Rotrou,Paris - Montparnasse - Hall 1 & 2 ,TER,862588,10-03-2023,20:53:00,20:53:00,0,,"['Nogent-le-Rotrou', 'Condé-sur-Huisne', 'Bretoncelles', 'La Loupe', 'Pontgouin', 'Courville-sur-Eure', 'Saint-Aubin - Saint-Luperce', 'Amilly Ouerray', 'Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Gazeran', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
