Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Paris - Montparnasse - Hall 1 & 2,Hendaye ,TGV INOUI,8531,07-03-2023,07:08:00,07:08:00,0,,"['Bordeaux Saint-Jean', 'Dax', 'Bayonne', 'Biarritz', 'Saint-Jean-de-Luz - Ciboure', 'Hendaye']"
Paris - Montparnasse - Hall 1 & 2,Nogent-le-Rotrou ,TER,862583,07-03-2023,07:09:00,07:09:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres', 'Amilly Ouerray', 'Saint-Aubin - Saint-Luperce', 'Courville-sur-Eure', 'Pontgouin', 'La Loupe', 'Bretoncelles', 'Condé-sur-Huisne', 'Nogent-le-Rotrou']"
Paris - Montparnasse - Hall 1 & 2,Nantes ,OUIGO,7621,07-03-2023,07:41:00,07:41:00,0,,"['Le Mans', 'Angers-Saint-Laud', 'Nantes']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862411,07-03-2023,08:09:00,08:09:00,0,,"['Versailles Chantiers', 'Saint-Quentin en Yvelines - Montigny-le-Bretonneux', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Quimper ,TGV INOUI,8707,07-03-2023,08:40:00,08:40:00,0,,"['Laval', 'Rennes', 'Redon', 'Vannes', 'Auray', 'Lorient', 'Quimper']"
Châtellerault,Angoulême ,TER NA,863155,07-03-2023,08:19:00,08:19:00,0,,"['Ligugé', 'Vivonne', 'Saint-Saviol', 'Ruffec', 'Luxé', 'Angoulême']"
Poitiers,Angoulême ,TER NA,450235,07-03-2023,12:16:00,12:16:00,0,,"['Ligugé', 'Iteuil', 'Vivonne', 'Anché - Voulon', 'Epanvilliers', 'Saint-Saviol', 'Ruffec', 'Luxé', 'Angoulême']"
Rennes,Bruxelles-Midi - Brussel-Zuid ,TGV INOUI,9884,07-03-2023,06:23:00,06:23:00,0,,"['Laval', 'Le Mans', 'Massy TGV', 'Marne-la-Vallée - Chessy', 'Aéroport Charles de Gaulle 2 TGV', 'TGV Haute Picardie', 'Lille Europe', 'Bruxelles-Midi - Brussel-Zuid']"
Saint-Brieuc,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8680,07-03-2023,06:35:00,06:35:00,0,,"['Laval', 'Paris - Montparnasse - Hall 1 & 2']"
Rennes,Caen ,TER,36891,07-03-2023,07:30:00,07:30:00,0,,"['Rennes Beaulieu Chimie', 'Avranches', 'Guilberville-le Saussey', 'Caen']"
Rennes,Saint-Malo ,TER,854309,07-03-2023,07:35:00,07:35:00,0,,"['Pontchaillou', 'Montreuil-sur-Ille', 'Combourg', 'Dol-de-Bretagne', 'La Fresnais', 'Saint-Malo']"
Rennes,Vannes ,TER,856115,07-03-2023,07:40:00,07:40:00,0,,"['Bruz', 'Messac - Guipry', 'Beslé', 'Massérac', 'Redon', 'Malansac', 'Questembert', 'Vannes']"
Rennes,Laval ,TER,857658,07-03-2023,07:43:00,07:43:00,0,,"['Cesson-Sévigné', 'Noyal - Acigné', 'Servon', 'Châteaubourg', 'Vitré', 'Saint-Pierre-la-Cour', 'Port-Brillet', 'Le Genest', 'Laval']"
Rennes,Saint-Malo ,TER,854315,07-03-2023,08:35:00,08:35:00,0,,"['Pontchaillou', 'Montreuil-sur-Ille', 'Combourg', 'Dol-de-Bretagne', 'La Gouesnière - Cancale - Saint-Méloir-des-Ondes', 'Saint-Malo']"
Rennes,Loudéac ,TER,92001,07-03-2023,08:45:00,08:45:00,0,,"['Plémet', 'Loudéac Triskell', 'Loudéac']"
Rennes,Fougères ,TER,82201,07-03-2023,08:45:00,08:45:00,0,,['Fougères']
Rennes,Dinard ,TER,82001,07-03-2023,09:00:00,09:00:00,0,,['Dinard']
Strasbourg,Sélestat ,TER,30149,07-03-2023,05:36:00,05:36:00,0,,"['Fegersheim - Lipsheim', 'Erstein', 'Benfeld', 'Sélestat']"
Strasbourg,Lauterbourg ,TER,30342,07-03-2023,12:23:00,12:23:00,0,,"['Bischheim Arrêt CTS R. Gare', 'Hoenheim - Tram', 'La Wantzenau', 'Kilstett Rue de la Gare', 'Gambsheim Garage Peugeot', 'Gambsheim', 'Herrlisheim', 'Drusenheim', 'Sessenheim', 'Rountzenheim', 'Rœschwoog', 'Seltz', 'Lauterbourg']"
Strasbourg,Benfeld ,TER,30151,07-03-2023,14:25:00,14:25:00,0,,"['Fegersheim - Lipsheim', 'Erstein', 'Benfeld']"
Strasbourg,Paris Est ,TGV INOUI,2060,07-03-2023,18:57:00,18:57:00,0,,['Paris Est']
Mannheim - Hauptbahnhof,Paris Est ,DB SNCF,9560,07-03-2023,18:57:00,18:57:00,0,,['Paris Est']
Strasbourg,Paris Est ,OUIGO,7694,07-03-2023,20:01:00,20:01:00,0,,['Paris Est']
Strasbourg,Herrlisheim ,TER,30344,07-03-2023,21:00:00,21:00:00,0,,"['Bischheim Arrêt CTS R. Gare', 'Hoenheim - Tram', 'La Wantzenau', 'Kilstett Rue de la Gare', 'Gambsheim Garage Peugeot', 'Gambsheim', 'Herrlisheim']"
Strasbourg,Rothau ,TER,30376,07-03-2023,21:00:00,21:00:00,0,,"['Molsheim', 'Mutzig Passage à Niveau', 'Mutzig Porte Centre', 'Gresswiller Abri', 'Heiligenberg - Mollkirch', 'Urmatt', 'Lutzelhouse Abri Église', 'Wisches Église', 'Russ Hersbach', 'Schirmeck - La Broque', 'Rothau']"
